,wf_id,pmid,lotid,PERIOD,process_datetime,RF60MHzCurrentRFOnInHours_StepNA_Min,feat1_Step14_Avg,feat2_Step30_Avg,feat3_Step35_Avg,EdgeZoneTilt_Avg
0,w0,c0,l0,1,2000-10-22 06:02:00,1.0,5,68,1033,-1.0
1,w1,c0,l1,1,2000-10-22 07:02:00,2.0,19,166,2184,-2.0
2,w2,c0,l2,1,2000-10-22 08:02:00,3.0,26,252,2929,-3.0
3,w3,c0,l3,2,2000-11-22 06:02:00,1.0,11,87,883,-1.0
4,w4,c0,l4,2,2000-11-22 07:02:00,2.0,19,205,2022,-2.0
5,w5,c0,l5,2,2000-11-22 08:02:00,3.0,26,323,2532,-3.0
6,w5,c1,l6,1,2000-10-22 06:02:00,1.0,5,111,1367,-1.0
7,w7,c1,l7,1,2000-10-22 07:02:00,2.0,21,183,2272,-2.0
8,w8,c1,l8,1,2000-10-22 08:02:00,3.0,33,310,3160,-3.0
9,w9,c1,l9,2,2000-12-22 06:02:00,1.0,13,54,685,-1.0
10,w10,c1,l10,2,2000-12-22 07:02:00,2.0,20,248,2243,-2.0
11,w11,c2,l0,1,2000-10-22 06:02:00,1.0,10,89,1339,-1.0
12,w12,c2,l1,1,2000-10-22 07:02:00,2.0,15,193,1584,-2.0
13,w13,c2,l2,1,2000-10-22 08:02:00,3.0,27,316,3435,-3.0
14,w14,c2,l3,2,2000-11-22 06:02:00,1.0,7,111,998,-1.0
15,w15,c2,l4,2,2000-11-22 07:02:00,2.0,20,176,2173,-2.0
16,w16,c2,l5,2,2000-11-22 08:02:00,3.0,33,327,2768,-3.0
17,w17,c3,l6,1,2000-10-22 06:02:00,1.0,10,131,674,-1.0
18,w18,c3,l7,1,2000-10-22 07:02:00,2.0,18,217,1842,-2.0
19,w19,c3,l8,1,2000-10-22 08:02:00,3.0,27,322,2845,-3.0
20,w20,c3,l9,2,2000-12-22 06:02:00,1.0,5,90,1067,-1.0
21,w21,c3,l10,2,2000-12-22 07:02:00,2.0,21,151,1900,-2.0
22,w22,c4,l0,1,2000-10-22 06:02:00,1.0,6,100,1405,-1.0
23,w23,c4,l1,1,2000-10-22 07:02:00,2.0,24,248,1575,-2.0
24,w24,c4,l2,1,2000-10-22 08:02:00,3.0,31,332,3240,-3.0
25,w25,c4,l3,2,2000-11-22 06:02:00,1.0,6,115,967,-1.0
26,w26,c4,l4,2,2000-11-22 07:02:00,2.0,15,205,1896,-2.0
27,w27,c4,l5,2,2000-11-22 08:02:00,3.0,30,337,3086,-3.0
28,w28,c4,l6,1,2000-10-22 06:02:00,1.0,12,118,1297,-1.0
29,w29,c5,l7,1,2000-10-22 07:02:00,2.0,16,231,1844,-2.0
30,w30,c5,l8,1,2000-10-22 08:02:00,3.0,25,335,2516,-3.0
31,w31,c5,l9,2,2000-12-22 06:02:00,1.0,6,126,693,-1.0
32,w32,c5,l10,2,2000-12-22 07:02:00,2.0,25,212,2100,-2.0
